AphiaID	ScientificName	DrID	Source	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
159587	Ammodytes americanus	659407	"Noz̬res C., Archambault D., Chouinard P.-M., Gauthier J., Miller R., Parent E., Schwab P., Savard L., and Dutil J.-D. 2010. Identification guide for marine fishes of the estuary and northern Gulf of St. Lawrence and sampling protocols used during trawl surveys between 2004 and 2008. Can. Tech. Rep. Fish. Aquat. Sci. 2866: xi + 243 p"	Animalia	Chordata	Actinopteri	Perciformes	Ammodytidae	Ammodytes		americanus	
159587	Ammodytes americanus	749204	"Mark, S., Provencher, L., Albert, E. et Noz̬res, C. 2010. Cadre de suivi ̩cologique de la zone de protection marine Manicouagan (Qu̩bec) : bilan des connaissances et identification des composantes ̩cologiques �� suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p"	Animalia	Chordata	Actinopteri	Perciformes	Ammodytidae	Ammodytes		americanus	
159587	Ammodytes americanus	749558	"Mark, S., Provencher, L., Albert, E. et Noz̬res, C. 2010. Cadre de suivi ̩cologique de la zone de protection marine Manicouagan (Qu̩bec) : bilan des connaissances et identification des composantes ̩cologiques �� suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p"	Animalia	Chordata	Actinopteri	Perciformes	Ammodytidae	Ammodytes		americanus	
151520	Ammodytes dubius	659408	"Noz̬res C., Archambault D., Chouinard P.-M., Gauthier J., Miller R., Parent E., Schwab P., Savard L., and Dutil J.-D. 2010. Identification guide for marine fishes of the estuary and northern Gulf of St. Lawrence and sampling protocols used during trawl surveys between 2004 and 2008. Can. Tech. Rep. Fish. Aquat. Sci. 2866: xi + 243 p"	Animalia	Chordata	Actinopteri	Perciformes	Ammodytidae	Ammodytes		dubius	
151520	Ammodytes dubius	774878	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Chordata	Actinopteri	Perciformes	Ammodytidae	Ammodytes		dubius	
151520	Ammodytes dubius	749203	"Mark, S., Provencher, L., Albert, E. et Noz̬res, C. 2010. Cadre de suivi ̩cologique de la zone de protection marine Manicouagan (Qu̩bec) : bilan des connaissances et identification des composantes ̩cologiques �� suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p"	Animalia	Chordata	Actinopteri	Perciformes	Ammodytidae	Ammodytes		dubius	
151520	Ammodytes dubius	749557	"Mark, S., Provencher, L., Albert, E. et Noz̬res, C. 2010. Cadre de suivi ̩cologique de la zone de protection marine Manicouagan (Qu̩bec) : bilan des connaissances et identification des composantes ̩cologiques �� suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p"	Animalia	Chordata	Actinopteri	Perciformes	Ammodytidae	Ammodytes		dubius	
101895	Ampelisca declivitatis	749470	"Mark, S., Provencher, L., Albert, E. et Noz̬res, C. 2010. Cadre de suivi ̩cologique de la zone de protection marine Manicouagan (Qu̩bec) : bilan des connaissances et identification des composantes ̩cologiques �� suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p"	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca		declivitatis	
101895	Ampelisca declivitatis	749116	"Mark, S., Provencher, L., Albert, E. et Noz̬res, C. 2010. Cadre de suivi ̩cologique de la zone de protection marine Manicouagan (Qu̩bec) : bilan des connaissances et identification des composantes ̩cologiques �� suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p"	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca		declivitatis	
101897	Ampelisca eschrichtii	774250	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca		eschrichtii	
101897	Ampelisca eschrichtii	749117	"Mark, S., Provencher, L., Albert, E. et Noz̬res, C. 2010. Cadre de suivi ̩cologique de la zone de protection marine Manicouagan (Qu̩bec) : bilan des connaissances et identification des composantes ̩cologiques �� suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p"	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca		eschrichtii	
101897	Ampelisca eschrichtii	749471	"Mark, S., Provencher, L., Albert, E. et Noz̬res, C. 2010. Cadre de suivi ̩cologique de la zone de protection marine Manicouagan (Qu̩bec) : bilan des connaissances et identification des composantes ̩cologiques �� suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p"	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca		eschrichtii	
101897	Ampelisca eschrichtii	769109	"Pr̩fontaine, G. & P. Brunel. (1962). Liste d'invert̩br̩s marins recueillis dans l'estuaire du Saint-Laurent de 1929 �� 1934. Naturaliste Canadien, Quebec 89(8-9):237-263, fig. 1."	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca		eschrichtii	
101908	Ampelisca macrocephala	774251	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca		macrocephala	
